Class ID,Preferred Label,Synonyms,Definitions,Parents
http://ecoinformatics.org/oboe/oboe.1.2/oboe-standards.owl#GramPerGram,GramPerGram,,,http://ecoinformatics.org/oboe/oboe.1.2/oboe-core.owl#CompositeUnit
http://ecoinformatics.org/oboe/oboe.1.2/oboe-standards.owl#Microliter,Microliter,,,http://ecoinformatics.org/oboe/oboe.1.2/oboe-core.owl#DerivedUnit
http://ecoinformatics.org/oboe/oboe.1.2/oboe-standards.owl#Kiloliter,Kiloliter,,,http://ecoinformatics.org/oboe/oboe.1.2/oboe-core.owl#DerivedUnit
http://ecoinformatics.org/oboe/oboe.1.2/oboe-core.owl#PrefixedUnit,PrefixedUnit,,"A prefixed unit consists of a base unit and a prefix integer value that serves as a multiplier. For example, a centimeter is a prefixed unit that combines a meter base unit and the prefix multiplier 0.01 such that one centimeter is equivalent to 0.01 meters.
",http://ecoinformatics.org/oboe/oboe.1.2/oboe-core.owl#Unit
http://ecoinformatics.org/oboe/oboe.1.2/oboe-standards.owl#PartPerThousand,PartPerThousand,,,http://ecoinformatics.org/oboe/oboe.1.2/oboe-core.owl#BaseUnit
http://ecoinformatics.org/oboe/oboe.1.2/oboe-standards.owl#Hectopascal,Hectopascal,,Unit of pressures often used in meteorology. One hectopascal is equivalent to one millibar,http://ecoinformatics.org/oboe/oboe.1.2/oboe-core.owl#BaseUnit
http://ecoinformatics.org/oboe/oboe.1.2/oboe-core.owl#CharacteristicQualifier,Characteristic Qualifier,,"A characteristic qualifier is a derived property of an entity that must be combined with concrete characteristics to be used in a measurement. A qualifier is either a base (atomic) or composite qualifier. As an example, the base qualifier minimum can be combined with a characteristic length to create a minimum length qualified characteristic. A composite qualifer is used to combine multiple qualifiers.",http://www.w3.org/2002/07/owl#Thing
http://ecoinformatics.org/oboe/oboe.1.2/oboe-characteristics.owl#RadionucleotideActivity,RadionucleotideActivity,,,http://ecoinformatics.org/oboe/oboe.1.2/oboe-core.owl#MeasuredCharacteristic
http://ecoinformatics.org/oboe/oboe.1.2/oboe-standards.owl#NanogramToKilogram,NanogramToKilogram,,,http://ecoinformatics.org/oboe/oboe.1.2/oboe-core.owl#UnitConversion
http://ecoinformatics.org/oboe/oboe.1.2/oboe-standards.owl#MegameterToMeter,MegameterToMeter,,,http://ecoinformatics.org/oboe/oboe.1.2/oboe-core.owl#UnitConversion
http://ecoinformatics.org/oboe/oboe.1.2/oboe-standards.owl#Millimeter,Millimeter,,,http://ecoinformatics.org/oboe/oboe.1.2/oboe-core.owl#BaseUnit
http://ecoinformatics.org/oboe/oboe.1.2/oboe-standards.owl#Kilogram,Kilogram,,,http://ecoinformatics.org/oboe/oboe.1.2/oboe-core.owl#BaseUnit
http://ecoinformatics.org/oboe/oboe.1.2/oboe-standards.owl#FathomToMeter,FathomToMeter,,,http://ecoinformatics.org/oboe/oboe.1.2/oboe-core.owl#UnitConversion
http://ecoinformatics.org/oboe/oboe.1.2/oboe-characteristics.owl#MassSpecificCount,MassSpecificCount,,,http://ecoinformatics.org/oboe/oboe.1.2/oboe-core.owl#MeasuredCharacteristic
http://ecoinformatics.org/oboe/oboe.1.2/oboe-standards.owl#WattPerMeterSquared,WattPerMeterSquared,,,http://ecoinformatics.org/oboe/oboe.1.2/oboe-core.owl#CompositeUnit
http://ecoinformatics.org/oboe/oboe.1.2/oboe-characteristics.owl#SpectralIrradiance,SpectralIrradiance,,"Irradiance, radiant emittance, and radiant exitance are radiometry terms for the power per unit area of electromagnetic radiation  at a surface. ""Irradiance"" is used when the electromagnetic radiation is incident on the surface. ""Radiant exitance"" or ""radiant emittance"" is used when the radiation is emerging from the surface. The SI units for all of these quantities are watts per square meter (W/m2) (wikipedia).  All of these quantities characterize the total amount of radiation present, at all frequencies. It is also common to consider each frequency in the spectrum separately. When this is done for radiation incident on a surface, it is called spectral irradiance, and has SI units W/m3, or commonly W·m−2·nm−1.",http://ecoinformatics.org/oboe/oboe.1.2/oboe-characteristics.owl#Irradiance
http://ecoinformatics.org/oboe/oboe.1.2/oboe-standards.owl#MillimolePerLiter,MillimolePerLiter,,,http://ecoinformatics.org/oboe/oboe.1.2/oboe-core.owl#CompositeUnit
http://ecoinformatics.org/oboe/oboe.1.2/oboe-standards.owl#Millihertz,Millihertz,,,http://ecoinformatics.org/oboe/oboe.1.2/oboe-core.owl#DerivedUnit
http://ecoinformatics.org/oboe/oboe.1.2/oboe-standards.owl#NanometerToMeter,NanometerToMeter,,,http://ecoinformatics.org/oboe/oboe.1.2/oboe-core.owl#UnitConversion
http://ecoinformatics.org/oboe/oboe.1.2/oboe-standards.owl#Decigram,Decigram,,,http://ecoinformatics.org/oboe/oboe.1.2/oboe-core.owl#BaseUnit
http://ecoinformatics.org/oboe/oboe.1.2/oboe-standards.owl#LiterToMeterCubed,LiterToMeterCubed,,,http://ecoinformatics.org/oboe/oboe.1.2/oboe-core.owl#UnitConversion
http://ecoinformatics.org/oboe/oboe.1.2/oboe-standards.owl#FootGoldCoast,FootGoldCoast,,,http://ecoinformatics.org/oboe/oboe.1.2/oboe-core.owl#BaseUnit
http://ecoinformatics.org/oboe/oboe.1.2/oboe-characteristics.owl#Power,Power,,,http://ecoinformatics.org/oboe/oboe.1.2/oboe-core.owl#MeasuredCharacteristic
http://ecoinformatics.org/oboe/oboe.1.2/oboe-standards.owl#Micrometer,Micrometer,,,http://ecoinformatics.org/oboe/oboe.1.2/oboe-core.owl#BaseUnit
http://ecoinformatics.org/oboe/oboe.1.2/oboe-standards.owl#CentisecondToSecond,CentisecondToSecond,,,http://ecoinformatics.org/oboe/oboe.1.2/oboe-core.owl#UnitConversion
http://ecoinformatics.org/oboe/oboe.1.2/oboe-characteristics.owl#Speed,Speed,,,http://ecoinformatics.org/oboe/oboe.1.2/oboe-core.owl#MeasuredCharacteristic
http://ecoinformatics.org/oboe/oboe.1.2/oboe-standards.owl#PintToLiter,PintToLiter,,,http://ecoinformatics.org/oboe/oboe.1.2/oboe-core.owl#UnitConversion
http://ecoinformatics.org/oboe/oboe.1.2/oboe-standards.owl#Mile,Mile,,,http://ecoinformatics.org/oboe/oboe.1.2/oboe-core.owl#BaseUnit
